
21.12.1999 14:53:45 Обработано -   9 записей 21.12.1999 14:54:06
21.12.1999 15:37:42 Обработано -   2 записей 21.12.1999 15:38:00
21.12.1999 17:51:42 Обработано -   1 записей 21.12.1999 17:51:59
21.12.1999 18:03:50 Обработано -   1 записей 21.12.1999 18:04:07
21.12.1999 20:05:50 Обработано -  48 записей 21.12.1999 20:06:25
21.12.1999 20:45:44 Обработано -   2 записей 21.12.1999 20:46:04
22.12.1999 10:35:50 Обработано -   6 записей 22.12.1999 10:36:19
22.12.1999 11:41:44 Обработано -   1 записей 22.12.1999 11:42:00
22.12.1999 11:53:46 Обработано -   1 записей 22.12.1999 11:54:01
22.12.1999 12:15:49 Обработано -   2 записей 22.12.1999 12:16:02
22.12.1999 12:45:55 Обработано -   2 записей 22.12.1999 12:46:12
22.12.1999 14:02:5822.12.1999 14:03:11
22.12.1999 16:01:02 Обработано -   2 записей 22.12.1999 16:01:15
22.12.1999 18:31:04 Обработано -  23 записей 22.12.1999 18:31:32
22.12.1999 19:32:58 Обработано -  28 записей 22.12.1999 19:33:27
23.12.1999 10:01:03 Обработано -   3 записей 23.12.1999 10:01:24
23.12.1999 12:21:04 Обработано -   3 записей 23.12.1999 12:21:22
23.12.1999 13:09:04 Обработано -   1 записей 23.12.1999 13:09:21
23.12.1999 13:21:12 Обработано -  13 записей 23.12.1999 13:21:34
23.12.1999 16:59:08 Обработано -   4 записей 23.12.1999 16:59:26
23.12.1999 17:31:11 Обработано -   2 записей 23.12.1999 17:31:29
23.12.1999 18:37:03 Обработано -  16 записей 23.12.1999 18:37:29
23.12.1999 18:51:04 Обработано -  32 записей 23.12.1999 18:51:35
23.12.1999 19:05:10 Обработано -   1 записей 23.12.1999 19:05:30
23.12.1999 19:31:01 Обработано -   3 записей 23.12.1999 19:31:20
23.12.1999 19:39:05 Обработано -   1 записей 23.12.1999 19:39:25
24.12.1999 10:43:01 Обработано -   4 записей 24.12.1999 10:43:26
24.12.1999 11:01:00 Обработано -   1 записей 24.12.1999 11:01:17
24.12.1999 12:49:05 Обработано -   2 записей 24.12.1999 12:49:23
24.12.1999 13:13:08 Обработано -   1 записей 24.12.1999 13:13:22
24.12.1999 14:15:07 Обработано -  13 записей 24.12.1999 14:15:25
24.12.1999 16:11:03 Обработано -   1 записей 24.12.1999 16:11:22
24.12.1999 16:57:11 Обработано -   8 записей 24.12.1999 16:57:36
24.12.1999 17:15:12 Обработано -   1 записей 24.12.1999 17:15:30
24.12.1999 17:51:06 Обработано -  29 записей 24.12.1999 17:51:34
24.12.1999 18:49:03 Обработано -  30 записей 24.12.1999 18:49:35
24.12.1999 18:57:14 Обработано -   1 записей 24.12.1999 18:57:36
24.12.1999 19:07:07 Обработано -   5 записей 24.12.1999 19:07:31
25.12.1999 14:33:15 Обработано -  18 записей 25.12.1999 14:33:43
25.12.1999 16:19:00 Обработано -  12 записей 25.12.1999 16:19:18
27.12.1999 10:20:55 Обработано -   9 записей 27.12.1999 10:21:17
27.12.1999 10:33:15 Обработано -   1 записей 27.12.1999 10:33:30
27.12.1999 11:35:06 Обработано -   1 записей 27.12.1999 11:35:22
27.12.1999 12:03:07 Обработано -   1 записей 27.12.1999 12:03:23
27.12.1999 17:09:17 Обработано -  15 записей 27.12.1999 17:09:44
27.12.1999 17:51:11 Обработано -  31 записей 27.12.1999 17:51:42
27.12.1999 18:25:23 Обработано -   2 записей 27.12.1999 18:25:40
27.12.1999 19:41:17 Обработано -  33 записей 27.12.1999 19:41:51
28.12.1999 08:41:11 Обработано -   1 записей 28.12.1999 08:41:30
28.12.1999 10:20:00 Обработано -   7 записей 28.12.1999 10:20:18
28.12.1999 10:37:11 Обработано -   1 записей 28.12.1999 10:37:26
28.12.1999 12:35:12 Обработано -   2 записей 28.12.1999 12:35:28
28.12.1999 12:45:12 Обработано -   1 записей 28.12.1999 12:45:26
28.12.1999 14:15:12 Обработано -  28 записей 28.12.1999 14:15:43
28.12.1999 16:31:15 Обработано -   5 записей 28.12.1999 16:31:34
28.12.1999 17:09:21 Обработано -  22 записей 28.12.1999 17:09:50
28.12.1999 17:45:20 Обработано -  27 записей 28.12.1999 17:45:51
29.12.1999 10:11:14 Обработано -   6 записей 29.12.1999 10:11:34
29.12.1999 10:27:23 Обработано -   4 записей 29.12.1999 10:27:47
29.12.1999 14:01:14 Обработано -   8 записей 29.12.1999 14:01:33
29.12.1999 14:35:15 Обработано -   3 записей 29.12.1999 14:35:34
29.12.1999 15:19:09 Обработано -   1 записей 29.12.1999 15:19:23
29.12.1999 16:05:24 Обработано -   8 записей 29.12.1999 16:05:41
29.12.1999 18:39:23 Обработано -  24 записей 29.12.1999 18:39:55
29.12.1999 19:01:24 Обработано -   4 записей 29.12.1999 19:01:48
30.12.1999 14:03:23 Обработано -   8 записей 30.12.1999 14:03:46
30.12.1999 14:27:22 Обработано -  47 записей 30.12.1999 14:27:54
30.12.1999 15:39:18 Обработано -  15 записей 30.12.1999 15:39:49
30.12.1999 16:09:28 Обработано -   4 записей 30.12.1999 16:09:47
30.12.1999 16:29:17 Обработано -   3 записей 30.12.1999 16:29:35
30.12.1999 17:39:17
30.12.1999 17:57:26 Обработано -  46 записей 30.12.1999 17:58:09
30.12.1999 18:31:29 Обработано -  58 записей 30.12.1999 18:32:21
30.12.1999 19:37:27 Обработано -   2 записей 30.12.1999 19:37:57
31.12.1999 12:23:25 Обработано -   9 записей 31.12.1999 12:24:05
31.12.1999 12:57:17 Обработано -   3 записей 31.12.1999 12:57:48
31.12.1999 13:23:25 Обработано -   3 записей 31.12.1999 13:23:52
31.12.1999 14:37:44 Обработано - 101 записей 31.12.1999 14:39:22
31.12.1999 14:59:34 Обработано -   5 записей 31.12.1999 15:00:09
31.12.1999 15:57:39 Обработано -   8 записей 31.12.1999 15:58:22
02.01.1999 13:47:09 Обработано -  12 записей 02.01.1999 13:47:50
02.01.1999 16:49:07 Обработано -   3 записей 02.01.1999 16:49:32
02.01.1999 17:53:08 Обработано -  15 записей 02.01.1999 17:53:36
04.01.2000 14:31:16 Обработано -  10 записей 04.01.2000 14:31:48
04.01.2000 14:45:17 Обработано -   2 записей 04.01.2000 14:45:38
04.01.2000 15:31:13 Обработано -   5 записей 04.01.2000 15:31:34
04.01.2000 15:47:21 Обработано -  31 записей 04.01.2000 15:47:50
05.01.2000 11:07:12 Обработано -   6 записей 05.01.2000 11:07:36
05.01.2000 12:09:11 Обработано -   1 записей 05.01.2000 12:09:31
05.01.2000 13:01:13 Обработано -   1 записей 05.01.2000 13:01:32
05.01.2000 14:17:43 Обработано -   3 записей 05.01.2000 14:18:05
05.01.2000 16:09:17 Обработано -   4 записей 05.01.2000 16:09:38
05.01.2000 18:27:15 Обработано -  18 записей 05.01.2000 18:27:43
05.01.2000 20:25:16 Обработано -   2 записей 05.01.2000 20:25:37
06.01.2000 12:35:22 Обработано -   8 записей 06.01.2000 12:35:47
06.01.2000 13:03:20 Обработано -   2 записей 06.01.2000 13:03:34
06.01.2000 16:18:43 Обработано -  24 записей 06.01.2000 16:19:02
06.01.2000 17:07:15 Обработано -   1 записей 06.01.2000 17:07:27
06.01.2000 17:43:17 Обработано -  10 записей 06.01.2000 17:43:31
06.01.2000 18:47:17 Обработано -   4 записей 06.01.2000 18:47:31
06.01.2000 19:51:23 Обработано -   1 записей 06.01.2000 19:51:36
06.01.2000 20:57:23 Обработано -  17 записей 06.01.2000 20:57:39
06.01.2000 22:19:23 Обработано -  83 записей 06.01.2000 22:19:55
08.01.2000 12:33:28 Обработано -  19 записей 08.01.2000 12:33:50
08.01.2000 13:13:22 Обработано -   1 записей 08.01.2000 13:13:38
08.01.2000 13:29:22 Обработано -  31 записей 08.01.2000 13:29:46
08.01.2000 13:39:29 Обработано -  20 записей 08.01.2000 13:39:51
08.01.2000 15:21:31 Обработано -   5 записей 08.01.2000 15:21:51
08.01.2000 17:03:28 Обработано -   1 записей 08.01.2000 17:03:47
08.01.2000 17:25:29 Обработано -   1 записей 08.01.2000 17:25:48
08.01.2000 17:45:23 Обработано -   2 записей 08.01.2000 17:45:42
09.01.2000 10:07:24 Обработано -   3 записей 09.01.2000 10:07:43
09.01.2000 10:41:31 Обработано -   1 записей 09.01.2000 10:41:48
09.01.2000 18:49:32 Обработано -   3 записей 09.01.2000 18:49:50
10.01.2000 10:07:27 Обработано -   1 записей 10.01.2000 10:07:45
10.01.2000 11:39:25 Обработано -   7 записей 10.01.2000 11:39:39
10.01.2000 11:45:32 Обработано -   2 записей 10.01.2000 11:45:44
10.01.2000 12:19:21 Обработано -   1 записей 10.01.2000 12:19:32
10.01.2000 14:09:23 Обработано -  34 записей 10.01.2000 14:09:45
10.01.2000 17:07:26 Обработано -   2 записей 10.01.2000 17:07:40
10.01.2000 18:19:34 Обработано -   1 записей 10.01.2000 18:19:48
10.01.2000 18:53:33 Обработано -  21 записей 10.01.2000 18:53:53
10.01.2000 19:01:36 Обработано -   1 записей 10.01.2000 19:01:50
10.01.2000 19:41:34 Обработано -  18 записей 10.01.2000 19:41:53
10.01.2000 19:51:36 Обработано -   4 записей 10.01.2000 19:51:51
11.01.2000 13:05:31 Обработано -   6 записей 11.01.2000 13:05:48
11.01.2000 13:41:27 Обработано -   2 записей 11.01.2000 13:41:40
11.01.2000 14:09:29 Обработано -   1 записей 11.01.2000 14:09:41
11.01.2000 14:18:33 Обработано -   7 записей 11.01.2000 14:18:49
11.01.2000 15:07:26 Обработано -   2 записей 11.01.2000 15:07:39
11.01.2000 16:25:36 Обработано -   1 записей 11.01.2000 16:25:49
11.01.2000 17:27:38 Обработано -  28 записей 11.01.2000 17:27:58
11.01.2000 17:53:38 Обработано -   1 записей 11.01.2000 17:53:52
11.01.2000 19:11:30 Обработано -  11 записей 11.01.2000 19:11:47
12.01.2000 09:53:52 Обработано -   2 записей 12.01.2000 09:54:13
12.01.2000 11:09:49 Обработано -   2 записей 12.01.2000 11:10:07
